category	count	claimAmount	closeAmount
Automobile & Mechanical	537	64850.23	7012.87
Clothing & Accessories	23091	7237627.45000017	1231595.91999999
Containers	6230	6369988.86	205350.88
Cosmetics	12593	2123013.08999999	332446.1
Electronics	34168	26094701.6099993	2423131.41000002
Food & Drink	1788	186960.46	23867.65
Games & Toys	1147	573452.809999999	24415.2
Household Decor	718	266214.23	18740.49
Household Items	851	192601.89	19266.84
Musical Intruments	137	144402.96	17580.36
Office Supplies	748	252933.49	21220.55
Other	4363	6785220.15	252092.17
Outdoors Supplies	3366	387473.21	114420.14
Scientific Intruments	1838	501430.38	118063.28
Supplies	1363	610356.599999999	57195.510000000
Tools & Machines	7104	846878.079999983	121726.99
Watches & Jewelry	19651	28274321.0699999	1955849.01
Weapons & Knives	53	96787.12	980.6
