Item Name,Category
Currency,Other
Other,Other
Incidentals,Other
Personal Documents,Other
Personal Injury,Other
"Barber Supplies - Scissors, shears, elecric razors, etc.",Tools & Machines
Binoculars,Tools & Machines
"Lighters - (cigar, cigerette, etc.)",Tools & Machines
Locks,Tools & Machines
"Scissors, Shears (other than electric)",Tools & Machines
"Baby - Strollers, car seats, playpen, etc.",Tools & Machines
"Telephones, Answering Machines, Telecommunication for the Deaf",Tools & Machines
Typewriters,Tools & Machines
Stenotype Machines,Tools & Machines
Sewing Machines (other than electric),Tools & Machines
"Pet Supplies (food/water dish, kennel, cage, leash, collar, etc.)",Supplies
Supplies,Supplies
Photographic Film,Supplies
Material (including yard goods and yarn),Supplies
Furs,Supplies
Crafting & Hobby,Supplies
Medicines,Supplies
Musical Instruments - Other - inexpensive $100 or less,Musical Intruments
Musical Instruments - Other - Over $250,Musical Intruments
Musical Instruments - Other - Over $100 - $250,Musical Intruments
"Musical Instruments (pianos, organs, player pianos, & harps)",Musical Intruments
Musical Instruments & Accessories,Musical Intruments
Firearms,Weapons & Knives
"Knives (pocket, leatherman, swiss army, etc)",Weapons & Knives
"Kitchen Utensils -Pots, Pans, Knives (heavy aluminum, cast iron, etc.)",Household Items
Bedding - Other pillows,Household Items
Bedding - Linens and bedspreads,Household Items
Bedding - Feather pillows,Household Items
Bedding - Air mattress,Household Items
Bathroom Scales,Household Items
"Dishes, Pottery, Glassware, Plasticware",Household Items
Household Items,Household Items
Hampers - Wicker or Plastic,Household Items
"Linens - Quilts, Comforters",Household Items
"Linens - Fine, Expensive",Household Items
"House Keeping Items (mops, brooms, ironing boards, pails, etc)",Household Items
TV Trays,Household Items
"Silverplate, Goldplate, Pewter, Stainless Steel, Copperware, Bronzeware",Household Decor
Rugs - under $500,Household Decor
Rugs - over $500 - $999,Household Decor
Artificial flowers & Fruits,Household Decor
Mirrors (including frames),Household Decor
Posters - framed or unframed,Household Decor
"Taxidermy Items (mounted deer heads, fish, etc.)",Household Decor
"Lighting Supplies (globe domes, electric candlesticks, candelabra, etc.)",Household Decor
Home Decor,Household Decor
Drapes,Household Decor
"Drapery and Curtain Rods, Venetian Blinds",Household Decor
Lampshade,Household Decor
Lamps (including sun lamps),Household Decor
"Decorations - Christmas, Birthday, etc.",Household Decor
"Furniture (particle board - work benches, plastic, wicker, rattan, & patio)",Household Decor
"Furniture (including brass & cement furniture, water beds, & shelving)",Household Decor
Candles - Decorative and other,Household Decor
"Ceramics - Animals, etc.",Household Decor
Clocks - Inexpensive ($75.00 or less),Household Decor
"Clocks - Grandfather, Grandmother, etc.",Household Decor
Clocks - Expensive ($75.00 or more),Household Decor
Curtains,Household Decor
"Paintings and Pictures (including frames, etchings, photos, etc)",Household Decor
Cards - Greeting,Office Supplies
"Desk and Writing Equipment - pen and pencil sets, fountain pens, etc.",Office Supplies
Office Furnishings,Office Supplies
Office Equipment & Supplies,Office Supplies
Stationery,Office Supplies
"Books, Magazines & Other",Office Supplies
"Books - Reference books, cookbooks, etc.",Office Supplies
Books - Other (Hardcover non-fiction),Office Supplies
"Books - Fiction, paperbacks, magazines, etc.",Office Supplies
Books - Bibles & Bound classics,Office Supplies
"Toys - Other (including games, toys, play dolls etc.)",Games & Toys
"Toys (game systems, cartridges, radio controlled cars, etc.)",Games & Toys
Toys & Games,Games & Toys
Stuffed Animals,Games & Toys
Cards - Playing,Games & Toys
Knick Knacks (bric-a-bracks),Games & Toys
"Game Equipment (poker chips, checker sets, chess etc.)",Games & Toys
Dolls - Decorator,Games & Toys
Dental Equipment and Instruments,Scientific Intruments
Microscopes & Telescopes - Inexpensive $100 or less,Scientific Intruments
Microscopes & Telescopes - Expensive More than $100,Scientific Intruments
Medical/Science,Scientific Intruments
Medical Equipment & Insturments,Scientific Intruments
Science,Scientific Intruments
"Drafting, Mapping, and Sketching Equipment",Scientific Intruments
Professional Equipment,Scientific Intruments
Jewelry - Fine,Watches & Jewelry
Jewelry - Costume,Watches & Jewelry
Jewelry & Watches,Watches & Jewelry
Watches - Inexpensive $100 or less,Watches & Jewelry
Watches - Expensive more than $100,Watches & Jewelry
"Bags - Fabric, plastic, etc. (not purses)",Containers
Baggage/Cases/Purses,Containers
Baskets - Wicker or plastic,Containers
Baskets - Metal,Containers
Briefcases,Containers
"Boxes - Jewelry, Cigarette, Music, etc.",Containers
Handbags & Purses (leather or fabric),Containers
Luggage (all types including footlockers),Containers
Purses,Containers
Tool Chests & Tool Boxes (not in a vehicle)_,Containers
"Brushes - Hair, Clothes, etc.",Cosmetics
"Cosmetics - Perfume, toilet articles, medicines, soaps, etc.",Cosmetics
Cosmetics & Grooming,Cosmetics
Razors (other than electric),Cosmetics
Wigs (including hairpieces) under $100,Cosmetics
Wigs (including hairpieces) $250 or more,Cosmetics
Wigs (including hairpieces) $100 - $250,Cosmetics
Personal Grooming,Cosmetics
Grooming,Cosmetics
Travel Accessories,Cosmetics
"Clothing - Shoes, belts, accessories, etc.",Clothing & Accessories
Clothing,Clothing & Accessories
Sunglasses,Clothing & Accessories
Accessories,Clothing & Accessories
Eyeglasses - (including contact lenses),Clothing & Accessories
Personal Accessories,Clothing & Accessories
Wedding Gowns,Clothing & Accessories
Barbeque Grills,Outdoors Supplies
Boating Equiment & supplies,Outdoors Supplies
Camping Equipment & Supplies,Outdoors Supplies
Garden Equipment - Power Lawnmowers,Outdoors Supplies
"Garden Equipment - (wheelbarrows, roller, etc.)",Outdoors Supplies
Fishing Items,Outdoors Supplies
Fish/Game,Outdoors Supplies
"Outdoor Structures (fencing, storage sheds, etc.)",Outdoors Supplies
Outdoor Items,Outdoors Supplies
Outdoor,Outdoors Supplies
Compasses,Outdoors Supplies
"Tools - Power (including air tools, not in a vehicle)",Outdoors Supplies
Tools - Manual (not in a vehicle),Outdoors Supplies
Tools & Home Improvement Supplies,Outdoors Supplies
"Sporting Equipment & Supplies (footballs, parachutes, etc.)",Outdoors Supplies
Umbrellas,Outdoors Supplies
Hunting & Fishing Items,Outdoors Supplies
Ladders,Outdoors Supplies
Automobile Parts & Accessories,Automobile & Mechanical
Automobile Parts,Automobile & Mechanical
Bicycles,Automobile & Mechanical
Audio/Video,Electronics
"Audio - Other (Phonograph, cassettes, etc)",Electronics
Audio - CD's,Electronics
Batteries - Dry cell only,Electronics
"Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)",Electronics
Cameras - Digital,Electronics
Cameras,Electronics
"Cell Phones (smartphone type-blackberry, iphone, etc)",Electronics
Cell Phones,Electronics
"Calculators - Adding machines, hand calculators, etc.",Electronics
Computer peripherals,Electronics
Computer - Laptop,Electronics
Computer & Accessories,Electronics
DVD/CD Players,Electronics
"Electrical and Gas Appliances Minor - $200 or less (humidifiers, tv's, etc)",Electronics
Electric Blankets,Electronics
Flashlights,Electronics
GPS - Global Positioning System,Electronics
"MP3 Players-(iPods, etc)",Electronics
Hearing Aids,Electronics
PDA - Personal Data Assistants,Electronics
Personal Electronics,Electronics
Stereo Items & Accessories,Electronics
Personal Navigation,Electronics
Video Recordings - Laser Discs,Electronics
Video Recordings (blank & commercial),Electronics
Alcoholic beverages,Food & Drink
"Food items (jams, jellys, candy, etc.)",Food & Drink
Food & Drink,Food & Drink
